@RELATION anneal

@ATTRIBUTE feature_01 {A, B, C}
@ATTRIBUTE feature_02 {A}
@ATTRIBUTE feature_03 {A, B, C, D, E, F, G, H}
@ATTRIBUTE feature_04 REAL
@ATTRIBUTE feature_05 REAL
@ATTRIBUTE feature_06 {A, B}
@ATTRIBUTE feature_07 {A, B, C}
@ATTRIBUTE feature_08 {A, B, C, D, E}
@ATTRIBUTE feature_09 REAL
@ATTRIBUTE feature_10 {A, B}
@ATTRIBUTE feature_11 {A, B}
@ATTRIBUTE feature_12 {A, B, C, D, E}
@ATTRIBUTE feature_13 {A, B, C}
@ATTRIBUTE feature_14 {A, B}
@ATTRIBUTE feature_15 {A, B}
@ATTRIBUTE feature_16 {A, B}
@ATTRIBUTE feature_17 {A, B, C}
@ATTRIBUTE feature_18 {A, B}
@ATTRIBUTE feature_19 {A}
@ATTRIBUTE feature_20 {A, B}
@ATTRIBUTE feature_21 {A, B}
@ATTRIBUTE feature_22 {A, B}
@ATTRIBUTE feature_23 {A}
@ATTRIBUTE feature_24 {A, B}
@ATTRIBUTE feature_25 {A, B}
@ATTRIBUTE feature_26 {A}
@ATTRIBUTE feature_27 {A, B, C, D}
@ATTRIBUTE feature_28 {A, B}
@ATTRIBUTE feature_29 {A}
@ATTRIBUTE feature_30 {A}
@ATTRIBUTE feature_31 {A}
@ATTRIBUTE feature_32 {A, B}
@ATTRIBUTE feature_33 REAL
@ATTRIBUTE feature_34 REAL
@ATTRIBUTE feature_35 REAL
@ATTRIBUTE feature_36 {A, B, C}
@ATTRIBUTE feature_37 {A, B, C}
@ATTRIBUTE feature_38 {A, B, C}
@ATTRIBUTE class {A, B, C, D, E}

@DATA
A,A,B,8.0,0.0,A,C,A,0.0,A,A,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0.7,610.0,0.0,A,A,A,C
A,A,E,0.0,0.0,A,C,C,0.0,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,3.2,610.0,0.0,A,A,A,C
A,A,E,0.0,0.0,A,C,C,0.0,A,A,C,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,0.7,1300.0,762.0,A,A,A,C
A,A,B,0.0,60.0,B,A,A,0.0,A,A,E,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,2.801,385.1,0.0,A,A,A,C
A,A,B,0.0,60.0,B,A,A,0.0,A,A,E,A,A,A,A,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,B,0.801,255.0,269.0,A,A,A,C
A,A,B,0.0,45.0,A,C,A,0.0,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1.6,610.0,0.0,A,A,A,C
A,A,E,0.0,0.0,A,C,C,0.0,A,A,C,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,0.699,610.0,4880.0,C,A,A,C
A,A,B,0.0,0.0,A,C,C,0.0,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,3.3,152.0,0.0,A,A,A,C
A,A,E,0.0,0.0,A,C,C,0.0,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,0.699,1320.0,0.0,A,A,A,C
A,A,B,0.0,0.0,A,C,D,0.0,B,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,1.0,1320.0,762.0,A,A,A,C
A,A,E,0.0,0.0,A,C,C,0.0,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1.2,610.0,0.0,A,A,A,C
A,A,E,0.0,0.0,A,C,C,0.0,A,A,C,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,0.3,1320.0,4880.0,C,A,A,C
A,A,E,0.0,0.0,A,C,C,0.0,A,A,C,A,A,A,A,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,B,1.2,610.0,150.0,A,A,A,C
A,A,B,0.0,45.0,A,C,A,0.0,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1.2,609.9,0.0,A,A,A,C
A,A,B,0.0,0.0,A,C,C,0.0,A,A,D,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,0.6,1220.0,761.0,A,A,A,C
A,A,B,0.0,0.0,A,C,C,0.0,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,4.0,1320.0,762.0,A,A,A,C
A,A,B,10.0,0.0,A,A,A,0.0,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,3.201,600.0,0.0,A,A,A,E
A,A,B,0.0,80.0,B,A,A,0.0,A,A,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,0.8,610.0,4170.0,C,A,A,E
A,A,B,0.0,0.0,A,C,C,0.0,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,3.2,1320.1,762.0,A,A,A,C
A,A,B,0.0,70.0,B,A,A,0.0,A,A,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0.501,1200.1,0.0,A,A,A,C
A,A,B,0.0,0.0,A,C,C,0.0,A,A,D,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,0.6,610.0,761.0,A,A,A,C
A,A,C,55.0,0.0,A,A,A,0.0,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0.8,610.0,0.0,A,A,A,C
A,A,B,0.0,85.0,B,A,A,0.0,A,A,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1.001,50.0,0.0,A,A,A,E
A,A,F,70.0,0.0,A,A,A,0.0,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,3.2,609.9,0.0,A,A,A,C
A,A,B,3.0,0.0,B,A,A,0.0,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0.5,610.0,0.0,A,A,A,A
A,A,A,0.0,50.0,B,A,A,0.0,A,A,E,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,3.2,1320.0,0.0,A,A,A,C
A,A,B,0.0,60.0,B,A,A,0.0,A,A,E,A,A,A,A,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,B,0.8,356.0,4880.0,A,A,A,C
A,A,E,0.0,0.0,A,C,C,0.0,A,A,C,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,0.7,609.9,4170.0,A,A,A,C
A,A,C,55.0,0.0,A,A,A,0.0,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0.8,900.0,0.0,A,A,A,C
A,A,H,0.0,0.0,A,A,A,310.0,A,A,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1.6,610.0,0.0,A,B,A,C
B,A,B,0.0,0.0,A,A,D,0.0,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,0.6,610.0,4880.0,A,A,A,D
A,A,A,0.0,45.0,A,C,A,0.0,A,A,C,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,1.4,1320.0,4170.0,A,A,A,C
A,A,B,0.0,45.0,A,C,A,0.0,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,0.699,1320.0,762.0,A,A,A,C
A,A,B,0.0,85.0,B,A,A,0.0,A,A,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,4.0,450.0,0.0,A,A,A,E
A,A,B,0.0,0.0,A,C,D,0.0,B,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,0.75,1320.0,4880.0,A,A,A,C
B,A,B,0.0,0.0,A,A,D,0.0,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1.6,1220.0,0.0,A,A,A,D
A,A,D,0.0,0.0,A,A,A,350.0,A,A,E,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1.399,1320.0,0.0,A,A,A,C
