@RELATION autos

@ATTRIBUTE feature_01 REAL
@ATTRIBUTE feature_02 {A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S, T, U, V}
@ATTRIBUTE feature_03 {A, B}
@ATTRIBUTE feature_04 {A, B}
@ATTRIBUTE feature_05 {A, B, C}
@ATTRIBUTE feature_06 {A, B, C, D, E}
@ATTRIBUTE feature_07 {A, B, C}
@ATTRIBUTE feature_08 {A, B}
@ATTRIBUTE feature_09 REAL
@ATTRIBUTE feature_10 REAL
@ATTRIBUTE feature_11 REAL
@ATTRIBUTE feature_12 REAL
@ATTRIBUTE feature_13 REAL
@ATTRIBUTE feature_14 {A, B, C, D, E, F, G}
@ATTRIBUTE feature_15 {A, B, C, D, E, F, G}
@ATTRIBUTE feature_16 REAL
@ATTRIBUTE feature_17 {A, B, C, D, E, F, G, H}
@ATTRIBUTE feature_18 REAL
@ATTRIBUTE feature_19 REAL
@ATTRIBUTE feature_20 REAL
@ATTRIBUTE feature_21 REAL
@ATTRIBUTE feature_22 REAL
@ATTRIBUTE feature_23 REAL
@ATTRIBUTE feature_24 REAL
@ATTRIBUTE feature_25 REAL
@ATTRIBUTE class {A, B, C, D, E, F}

@DATA
?,A,B,A,C,A,C,A,88.6,168.8,64.1,48.8,2548.0,A,C,130.0,F,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,13495.0,F
?,A,B,A,C,A,C,A,88.6,168.8,64.1,48.8,2548.0,A,C,130.0,F,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,16500.0,F
?,A,B,A,C,C,C,A,94.5,171.2,65.5,52.4,2823.0,F,D,152.0,F,2.68,3.47,9.0,154.0,5000.0,19.0,26.0,16500.0,D
164.0,B,B,A,B,D,B,A,99.8,176.6,66.2,54.3,2337.0,D,C,109.0,F,3.19,3.4,10.0,102.0,5500.0,24.0,30.0,13950.0,E
164.0,B,B,A,B,D,A,A,99.4,176.6,66.4,54.3,2824.0,D,B,136.0,F,3.19,3.4,8.0,115.0,5500.0,18.0,22.0,17450.0,E
?,B,B,A,C,D,B,A,99.8,177.3,66.3,53.1,2507.0,D,B,136.0,F,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,15250.0,E
158.0,B,B,A,B,D,B,A,105.8,192.7,71.4,55.7,2844.0,D,B,136.0,F,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,17710.0,D
?,B,B,A,B,E,B,A,105.8,192.7,71.4,55.7,2954.0,D,B,136.0,F,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,18920.0,D
158.0,B,B,B,B,D,B,A,105.8,192.7,71.4,55.9,3086.0,D,B,131.0,F,3.13,3.4,8.3,140.0,5500.0,17.0,20.0,23875.0,D
?,B,B,B,C,C,A,A,99.5,178.2,67.9,52.0,3053.0,D,B,131.0,F,3.13,3.4,7.0,160.0,5500.0,16.0,22.0,?,C
192.0,C,B,A,C,D,C,A,101.2,176.8,64.8,54.3,2395.0,D,C,108.0,F,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,16430.0,E
192.0,C,B,A,B,D,C,A,101.2,176.8,64.8,54.3,2395.0,D,C,108.0,F,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,16925.0,C
188.0,C,B,A,C,D,C,A,101.2,176.8,64.8,54.3,2710.0,D,D,164.0,F,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,20970.0,C
188.0,C,B,A,B,D,C,A,101.2,176.8,64.8,54.3,2765.0,D,D,164.0,F,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,21105.0,C
?,C,B,A,B,D,C,A,103.5,189.0,66.9,55.7,3055.0,D,D,164.0,F,3.31,3.19,9.0,121.0,4250.0,20.0,25.0,24565.0,D
?,C,B,A,B,D,C,A,103.5,189.0,66.9,55.7,3230.0,D,D,209.0,F,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,30760.0,C
?,C,B,A,C,D,C,A,103.5,193.8,67.9,53.7,3380.0,D,D,209.0,F,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,41315.0,C
?,C,B,A,B,D,C,A,110.0,197.0,70.9,56.3,3505.0,D,D,209.0,F,3.62,3.39,8.0,182.0,5400.0,15.0,20.0,36880.0,C
121.0,D,B,A,C,C,B,A,88.4,141.1,60.3,53.2,1488.0,C,E,61.0,B,2.91,3.03,9.5,48.0,5100.0,47.0,53.0,5151.0,E
98.0,D,B,A,C,C,B,A,94.5,155.9,63.6,52.0,1874.0,D,C,90.0,B,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,6295.0,D
81.0,D,B,A,B,D,B,A,94.5,158.8,63.6,52.0,1909.0,D,C,90.0,B,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,6575.0,C
118.0,E,B,A,C,C,B,A,93.7,157.3,63.8,50.8,1876.0,D,C,90.0,B,2.97,3.23,9.41,68.0,5500.0,37.0,41.0,5572.0,D
118.0,E,B,A,C,C,B,A,93.7,157.3,63.8,50.8,1876.0,D,C,90.0,B,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6377.0,D
118.0,E,B,B,C,C,B,A,93.7,157.3,63.8,50.8,2128.0,D,C,98.0,F,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,7957.0,D
148.0,E,B,A,B,C,B,A,93.7,157.3,63.8,50.6,1967.0,D,C,90.0,B,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6229.0,D
148.0,E,B,A,B,D,B,A,93.7,157.3,63.8,50.6,1989.0,D,C,90.0,B,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6692.0,D
148.0,E,B,A,B,D,B,A,93.7,157.3,63.8,50.6,1989.0,D,C,90.0,B,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,7609.0,D
148.0,E,B,B,A,D,B,A,93.7,157.3,63.8,50.6,2191.0,D,C,98.0,F,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,8558.0,D
110.0,E,B,A,B,E,B,A,103.3,174.6,64.6,59.8,2535.0,D,C,122.0,B,3.34,3.46,8.5,88.0,5000.0,24.0,30.0,8921.0,A
145.0,E,B,B,C,C,B,A,95.9,173.2,66.3,50.2,2811.0,D,C,156.0,E,3.6,3.9,7.0,145.0,5000.0,19.0,24.0,12964.0,F
137.0,F,B,A,C,C,B,A,86.6,144.6,63.9,50.8,1713.0,D,C,92.0,A,2.91,3.41,9.6,58.0,4800.0,49.0,54.0,6479.0,E
137.0,F,B,A,C,C,B,A,86.6,144.6,63.9,50.8,1819.0,D,C,92.0,A,2.91,3.41,9.2,76.0,6000.0,31.0,38.0,6855.0,E
101.0,F,B,A,C,C,B,A,93.7,150.0,64.0,52.6,1837.0,D,C,79.0,A,2.91,3.07,10.1,60.0,5500.0,38.0,42.0,5399.0,D
101.0,F,B,A,C,C,B,A,93.7,150.0,64.0,52.6,1940.0,D,C,92.0,A,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,6529.0,D
101.0,F,B,A,C,C,B,A,93.7,150.0,64.0,52.6,1956.0,D,C,92.0,A,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,7129.0,D
110.0,F,B,A,B,D,B,A,96.5,163.4,64.0,54.5,2010.0,D,C,92.0,A,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,7295.0,C
78.0,F,B,A,B,E,B,A,96.5,157.1,63.9,58.3,2024.0,D,C,92.0,A,2.92,3.41,9.2,76.0,6000.0,30.0,34.0,7295.0,C
106.0,F,B,A,C,C,B,A,96.5,167.5,65.2,53.3,2236.0,D,C,110.0,A,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,7895.0,C
106.0,F,B,A,C,C,B,A,96.5,167.5,65.2,53.3,2289.0,D,C,110.0,A,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,9095.0,C
85.0,F,B,A,B,D,B,A,96.5,175.4,65.2,54.1,2304.0,D,C,110.0,A,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,8845.0,C
85.0,F,B,A,B,D,B,A,96.5,175.4,62.5,54.1,2372.0,D,C,110.0,A,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,10295.0,C
85.0,F,B,A,B,D,B,A,96.5,175.4,65.2,54.1,2465.0,D,C,110.0,F,3.15,3.58,9.0,101.0,5800.0,24.0,28.0,12945.0,C
107.0,F,B,A,C,D,B,A,96.5,169.1,66.0,51.0,2293.0,D,C,110.0,B,3.15,3.58,9.1,100.0,5500.0,25.0,31.0,10345.0,D
?,G,B,A,B,D,C,A,94.3,170.7,61.8,53.5,2337.0,D,C,111.0,B,3.31,3.23,8.5,78.0,4800.0,24.0,29.0,6785.0,C
?,G,B,A,C,D,B,A,94.5,155.9,63.6,52.0,1874.0,D,C,90.0,B,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,?,D
?,G,B,A,B,D,B,A,94.5,155.9,63.6,52.0,1909.0,D,C,90.0,B,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,?,C
?,G,B,A,C,C,C,A,96.0,172.6,65.2,51.4,2734.0,D,C,119.0,H,3.43,3.23,9.2,90.0,5000.0,24.0,29.0,11048.0,E
145.0,H,B,A,B,D,C,A,113.0,199.6,69.6,52.8,4066.0,A,D,258.0,F,3.63,4.17,8.1,176.0,4750.0,15.0,19.0,32250.0,C
?,H,B,A,B,D,C,A,113.0,199.6,69.6,52.8,4066.0,A,D,258.0,F,3.63,4.17,8.1,176.0,4750.0,15.0,19.0,35550.0,C
?,H,B,A,C,D,C,A,102.0,191.7,70.6,47.8,3950.0,F,F,326.0,F,3.54,2.76,11.5,262.0,5000.0,13.0,17.0,36000.0,C
104.0,I,B,A,C,C,B,A,93.1,159.1,64.2,54.1,1890.0,D,C,91.0,B,3.03,3.15,9.0,68.0,5000.0,30.0,31.0,5195.0,D
104.0,I,B,A,C,C,B,A,93.1,159.1,64.2,54.1,1900.0,D,C,91.0,B,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6095.0,D
104.0,I,B,A,C,C,B,A,93.1,159.1,64.2,54.1,1905.0,D,C,91.0,B,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6795.0,D
113.0,I,B,A,B,D,B,A,93.1,166.8,64.2,54.1,1945.0,D,C,91.0,B,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6695.0,D
113.0,I,B,A,B,D,B,A,93.1,166.8,64.2,54.1,1950.0,D,C,91.0,B,3.08,3.15,9.0,68.0,5000.0,31.0,38.0,7395.0,D
150.0,I,B,A,C,C,C,A,95.3,169.0,65.7,49.6,2380.0,G,G,70.0,C,?,?,9.4,101.0,6000.0,17.0,23.0,10945.0,F
150.0,I,B,A,C,C,C,A,95.3,169.0,65.7,49.6,2380.0,G,G,70.0,C,?,?,9.4,101.0,6000.0,17.0,23.0,11845.0,F
150.0,I,B,A,C,C,C,A,95.3,169.0,65.7,49.6,2385.0,G,G,70.0,C,?,?,9.4,101.0,6000.0,17.0,23.0,13645.0,F
150.0,I,B,A,C,C,C,A,95.3,169.0,65.7,49.6,2500.0,G,G,80.0,F,?,?,9.4,135.0,6000.0,16.0,23.0,15645.0,F
129.0,I,B,A,C,C,B,A,98.8,177.8,66.5,53.7,2385.0,D,C,122.0,B,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,8845.0,D
115.0,I,B,A,B,D,B,A,98.8,177.8,66.5,55.5,2410.0,D,C,122.0,B,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,8495.0,C
129.0,I,B,A,C,C,B,A,98.8,177.8,66.5,53.7,2385.0,D,C,122.0,B,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,10595.0,D
115.0,I,B,A,B,D,B,A,98.8,177.8,66.5,55.5,2410.0,D,C,122.0,B,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,10245.0,C
?,I,A,A,A,D,B,A,98.8,177.8,66.5,55.5,2443.0,D,C,122.0,D,3.39,3.39,22.7,64.0,4650.0,36.0,42.0,10795.0,C
115.0,I,B,A,B,C,B,A,98.8,177.8,66.5,55.5,2425.0,D,C,122.0,B,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,11245.0,C
118.0,I,B,A,B,D,C,A,104.9,175.0,66.1,54.4,2670.0,D,C,140.0,F,3.76,3.16,8.0,120.0,5000.0,19.0,27.0,18280.0,C
?,I,A,A,B,D,C,A,104.9,175.0,66.1,54.4,2700.0,D,C,134.0,D,3.43,3.64,22.0,72.0,4200.0,31.0,39.0,18344.0,C
93.0,J,A,B,B,D,C,A,110.0,190.9,70.3,56.5,3515.0,D,B,183.0,D,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,25552.0,A
93.0,J,A,B,B,E,C,A,110.0,190.9,70.3,58.7,3750.0,D,B,183.0,D,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,28248.0,A
93.0,J,A,B,C,B,C,A,106.7,187.5,70.3,54.9,3495.0,D,B,183.0,D,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,28176.0,C
93.0,J,A,B,B,D,C,A,115.6,202.6,71.7,56.3,3770.0,D,B,183.0,D,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,31600.0,A
?,J,B,A,B,D,C,A,115.6,202.6,71.7,56.5,3740.0,F,A,234.0,F,3.46,3.1,8.3,155.0,4750.0,16.0,18.0,34184.0,A
