@RELATION credit-rating

@ATTRIBUTE feature_01 {A, B, C}
@ATTRIBUTE feature_02 REAL
@ATTRIBUTE feature_03 REAL
@ATTRIBUTE feature_04 {A, B, C, D}
@ATTRIBUTE feature_05 {A, B, C, D}
@ATTRIBUTE feature_06 {A, B, C, D, E, F, G, H, I, J, K, L, M, N, O}
@ATTRIBUTE feature_07 {A, B, C, D, E, F, G, H, I, J}
@ATTRIBUTE feature_08 REAL
@ATTRIBUTE feature_09 {A, B}
@ATTRIBUTE feature_10 {A, B}
@ATTRIBUTE feature_11 REAL
@ATTRIBUTE feature_12 {A, B}
@ATTRIBUTE feature_13 {A, B, C}
@ATTRIBUTE feature_14 REAL
@ATTRIBUTE feature_15 REAL
@ATTRIBUTE class {A, B}

@DATA
C,30.83,0.0,C,B,N,I,1.25,B,B,1.0,A,A,202.0,0.0,A
B,58.67,4.46,C,B,L,E,3.04,B,B,6.0,A,A,43.0,560.0,A
B,24.5,0.5,C,B,L,E,1.5,B,A,0.0,A,A,280.0,824.0,A
C,27.83,1.54,C,B,N,I,3.75,B,B,5.0,B,A,100.0,3.0,A
C,20.17,5.625,C,B,N,I,1.71,B,A,0.0,A,C,120.0,0.0,A
C,32.08,4.0,C,B,K,I,2.5,B,A,0.0,B,A,360.0,0.0,A
C,33.17,1.04,C,B,M,E,6.5,B,A,0.0,B,A,164.0,31285.0,A
B,22.92,11.585,C,B,D,I,0.04,B,A,0.0,A,A,80.0,1349.0,A
C,54.42,0.5,D,D,J,E,3.96,B,A,0.0,A,A,180.0,314.0,A
C,42.5,4.915,D,D,N,I,3.165,B,A,0.0,B,A,52.0,1442.0,A
C,22.08,0.83,C,B,C,E,2.165,A,A,0.0,B,A,128.0,0.0,A
C,29.92,1.835,C,B,C,E,4.335,B,A,0.0,A,A,260.0,200.0,A
B,38.25,6.0,C,B,J,I,1.0,B,A,0.0,B,A,0.0,0.0,A
C,48.08,6.04,C,B,J,I,0.04,A,A,0.0,A,A,0.0,2690.0,A
B,45.83,10.5,C,B,L,I,5.0,B,B,7.0,B,A,0.0,0.0,A
C,36.67,4.415,D,D,J,I,0.25,B,B,10.0,B,A,320.0,0.0,A
C,28.25,0.875,C,B,K,I,0.96,B,B,3.0,B,A,396.0,0.0,A
B,23.25,5.875,C,B,L,I,3.17,B,B,10.0,A,A,120.0,245.0,A
C,21.83,0.25,C,B,E,E,0.665,B,A,0.0,B,A,0.0,0.0,A
B,19.17,8.585,C,B,D,E,0.75,B,B,7.0,A,A,96.0,0.0,A
C,25.0,11.25,C,B,C,I,2.5,B,B,17.0,A,A,200.0,1208.0,A
C,23.25,1.0,C,B,C,I,0.835,B,A,0.0,A,C,300.0,0.0,A
B,47.75,8.0,C,B,C,I,7.875,B,B,6.0,B,A,0.0,1260.0,A
B,27.42,14.5,C,B,O,E,3.085,B,B,1.0,A,A,120.0,11.0,A
B,41.17,6.5,C,B,L,I,0.5,B,B,3.0,B,A,145.0,0.0,A
B,15.83,0.585,C,B,C,E,1.5,B,B,2.0,A,A,100.0,0.0,A
B,47.0,13.0,C,B,H,B,5.165,B,B,9.0,B,A,0.0,0.0,A
C,56.58,18.5,C,B,E,B,15.0,B,B,17.0,B,A,0.0,0.0,A
C,57.42,8.5,C,B,F,E,7.0,B,B,3.0,A,A,0.0,0.0,A
C,42.08,1.04,C,B,N,I,5.0,B,B,6.0,B,A,500.0,10000.0,A
