@RELATION german-credit

@ATTRIBUTE feature_01 {A, B, C, D}
@ATTRIBUTE feature_02 REAL
@ATTRIBUTE feature_03 {A, B, C, D, E}
@ATTRIBUTE feature_04 {A, B, C, D, E, F, G, H, I, J}
@ATTRIBUTE feature_05 REAL
@ATTRIBUTE feature_06 {A, B, C, D, E}
@ATTRIBUTE feature_07 {A, B, C, D, E}
@ATTRIBUTE feature_08 REAL
@ATTRIBUTE feature_09 {A, B, C, D}
@ATTRIBUTE feature_10 {A, B, C}
@ATTRIBUTE feature_11 REAL
@ATTRIBUTE feature_12 {A, B, C, D}
@ATTRIBUTE feature_13 REAL
@ATTRIBUTE feature_14 {A, B, C}
@ATTRIBUTE feature_15 {A, B, C}
@ATTRIBUTE feature_16 REAL
@ATTRIBUTE feature_17 {A, B, C, D}
@ATTRIBUTE feature_18 REAL
@ATTRIBUTE feature_19 {A, B}
@ATTRIBUTE feature_20 {A, B}
@ATTRIBUTE class {A, B}

@DATA
B,6.0,B,G,1169.0,E,D,4.0,D,C,4.0,D,67.0,B,B,2.0,B,1.0,B,B,B
A,48.0,D,G,5951.0,C,A,2.0,A,C,2.0,D,22.0,B,B,1.0,B,1.0,A,B,A
D,12.0,B,C,2096.0,C,B,2.0,D,C,3.0,D,49.0,B,B,1.0,D,2.0,A,B,B
B,42.0,D,D,7882.0,C,B,2.0,D,B,4.0,B,45.0,B,A,1.0,B,2.0,A,B,B
B,24.0,C,E,4870.0,C,A,3.0,D,C,4.0,C,53.0,B,A,2.0,B,2.0,A,B,A
D,36.0,D,C,9055.0,E,A,2.0,D,C,4.0,C,35.0,B,A,1.0,D,2.0,B,B,B
D,24.0,D,D,2835.0,B,D,3.0,D,C,4.0,B,53.0,B,B,1.0,B,1.0,A,B,B
A,36.0,D,J,6948.0,C,A,2.0,D,C,2.0,A,35.0,B,C,1.0,A,1.0,B,B,B
D,12.0,D,G,3059.0,D,B,2.0,B,C,4.0,D,61.0,B,B,1.0,D,1.0,A,B,B
A,30.0,B,E,5234.0,C,E,4.0,C,C,2.0,A,28.0,B,B,2.0,A,1.0,A,B,A
A,12.0,D,E,1295.0,C,C,3.0,A,C,1.0,A,25.0,B,C,1.0,B,1.0,A,B,A
B,48.0,D,A,4308.0,C,C,3.0,A,C,4.0,B,24.0,B,C,1.0,B,1.0,A,B,A
A,12.0,D,G,1567.0,C,A,1.0,A,C,1.0,A,22.0,B,B,1.0,B,1.0,B,B,B
B,24.0,B,E,1199.0,C,D,4.0,D,C,4.0,A,60.0,B,B,2.0,D,1.0,A,B,A
B,15.0,D,E,1403.0,C,A,2.0,A,C,4.0,A,28.0,B,C,1.0,B,1.0,A,B,B
B,24.0,D,G,1282.0,A,A,4.0,A,C,2.0,A,32.0,B,B,1.0,D,1.0,A,B,A
D,24.0,B,G,2424.0,E,D,4.0,D,C,4.0,B,53.0,B,B,2.0,B,1.0,A,B,B
B,30.0,E,A,8072.0,E,C,2.0,D,C,3.0,A,25.0,A,B,3.0,B,1.0,A,B,B
A,24.0,D,J,12579.0,C,D,4.0,A,C,2.0,C,44.0,B,A,1.0,A,1.0,B,B,A
D,24.0,D,G,3430.0,B,D,3.0,D,C,2.0,A,31.0,B,B,1.0,B,2.0,B,B,B
D,9.0,B,E,2134.0,C,A,4.0,D,C,4.0,A,48.0,B,B,3.0,B,1.0,B,B,B
B,6.0,D,G,2647.0,B,A,2.0,D,C,3.0,D,44.0,B,C,1.0,B,2.0,A,B,B
B,10.0,B,E,2241.0,C,C,1.0,D,C,3.0,D,48.0,B,C,2.0,D,2.0,A,A,B
A,12.0,B,J,1804.0,A,C,3.0,D,C,4.0,B,44.0,B,B,1.0,B,1.0,A,B,B
D,10.0,B,D,2069.0,E,A,2.0,C,C,1.0,A,26.0,B,B,2.0,B,1.0,A,A,B
B,6.0,D,D,1374.0,C,A,1.0,D,C,2.0,D,36.0,A,B,1.0,D,1.0,B,B,B
D,6.0,E,G,426.0,C,D,4.0,C,C,4.0,A,39.0,B,B,1.0,D,1.0,A,B,B
C,12.0,A,G,409.0,D,A,3.0,A,C,3.0,D,42.0,B,C,2.0,B,1.0,A,B,B
A,7.0,D,G,2415.0,C,A,3.0,D,B,2.0,D,34.0,B,B,1.0,B,1.0,A,B,B
