@RELATION horse-colic-orig

@ATTRIBUTE feature_01 {A, B, C}
@ATTRIBUTE feature_02 {A, B}
@ATTRIBUTE feature_03 {AA, AB, AC, AD, AE, AF, AG, AH, AI, AJ, AK, AL, AM, AN, AO, AP, AQ, AR, AS, AT, AU, AV, AW, AX, AY, AZ, BA, BB, BC, BD, BE, BF, BG, BH, BI, BJ, BK, BL, BM, BN, BO, BP, BQ, BR, BS, BT, BU, BV, BW, BX, BY, BZ, CA, CB, CC, CD, CE, CF, CG, CH, CI, CJ, CK, CL, CM, CN, CO, CP, CQ, CR, CS, CT, CU, CV, CW, CX, CY, CZ, DA, DB, DC, DD, DE, DF, DG, DH, DI, DJ, DK, DL, DM, DN, DO, DP, DQ, DR, DS, DT, DU, DV, DW, DX, DY, DZ, EA, EB, EC, ED, EE, EF, EG, EH, EI, EJ, EK, EL, EM, EN, EO, EP, EQ, ER, ES, ET, EU, EV, EW, EX, EY, EZ, FA, FB, FC, FD, FE, FF, FG, FH, FI, FJ, FK, FL, FM, FN, FO, FP, FQ, FR, FS, FT, FU, FV, FW, FX, FY, FZ, GA, GB, GC, GD, GE, GF, GG, GH, GI, GJ, GK, GL, GM, GN, GO, GP, GQ, GR, GS, GT, GU, GV, GW, GX, GY, GZ, HA, HB, HC, HD, HE, HF, HG, HH, HI, HJ, HK, HL, HM, HN, HO, HP, HQ, HR, HS, HT, HU, HV, HW, HX, HY, HZ, IA, IB, IC, ID, IE, IF, IG, IH, II, IJ, IK, IL, IM, IN, IO, IP, IQ, IR, IS, IT, IU, IV, IW, IX, IY, IZ, JA, JB, JC, JD, JE, JF, JG, JH, JI, JJ, JK, JL, JM, JN, JO, JP, JQ, JR, JS, JT, JU, JV, JW, JX, JY, JZ, KA, KB, KC, KD, KE, KF, KG, KH, KI, KJ, KK, KL, KM, KN, KO, KP, KQ, KR, KS, KT, KU, KV, KW, KX, KY, KZ, LA, LB, LC, LD, LE, LF, LG, LH, LI, LJ, LK, LL, LM, LN, LO, LP, LQ, LR, LS, LT, LU, LV, LW, LX, LY, LZ, MA, MB, MC, MD, ME, MF, MG, MH, MI, MJ, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY}
@ATTRIBUTE feature_04 REAL
@ATTRIBUTE feature_05 INTEGER
@ATTRIBUTE feature_06 INTEGER
@ATTRIBUTE feature_07 {A, B, C, D, E}
@ATTRIBUTE feature_08 {A, B, C, D, E}
@ATTRIBUTE feature_09 {A, B, C, D, E, F, G}
@ATTRIBUTE feature_10 {A, B, C, D}
@ATTRIBUTE feature_11 {A, B, C, D, E, F}
@ATTRIBUTE feature_12 {A, B, C, D, E}
@ATTRIBUTE feature_13 {A, B, C, D, E}
@ATTRIBUTE feature_14 {A, B, C, D}
@ATTRIBUTE feature_15 {A, B, C, D}
@ATTRIBUTE feature_16 REAL
@ATTRIBUTE feature_17 {A, B, C, D, E}
@ATTRIBUTE feature_18 {A, B, C, D, E, F}
@ATTRIBUTE feature_19 REAL
@ATTRIBUTE feature_20 REAL
@ATTRIBUTE feature_21 {A, B, C, D}
@ATTRIBUTE feature_22 REAL
@ATTRIBUTE feature_23 {A, B, C, D}
@ATTRIBUTE feature_24 {A, B}
@ATTRIBUTE feature_25 {AA, AB, AC, AD, AE, AF, AG, AH, AI, AJ, AK, AL, AM, AN, AO, AP, AQ, AR, AS, AT, AU, AV, AW, AX, AY, AZ, BA, BB, BC, BD, BE, BF, BG, BH, BI, BJ, BK, BL, BM, BN, BO, BP, BQ, BR, BS, BT, BU, BV, BW, BX, BY, BZ, CA, CB, CC, CD, CE, CF, CG, CH, CI, CJ, CK}
@ATTRIBUTE feature_26 {A, B, C, D, E, F, G, H}
@ATTRIBUTE feature_27 {A, B}
@ATTRIBUTE class {A, B}

@DATA
C,A,HF,38.5,66,28,D,D,A,C,F,E,E,A,A,?,D,F,45.0,8.4,A,?,C,B,AE,A,A,B
B,A,LL,39.2,88,20,A,A,E,B,D,E,C,A,A,?,E,C,50.0,85.0,C,2.0,D,B,AQ,A,A,B
C,A,HW,38.3,40,24,B,B,D,B,D,D,B,A,A,?,B,B,33.0,6.7,A,?,B,B,AA,A,A,A
B,B,EE,39.1,164,84,E,B,G,C,C,E,E,B,C,5.0,D,A,48.0,7.2,D,5.3,C,A,AQ,A,A,A
C,A,HP,37.3,104,35,A,A,G,C,A,A,A,A,A,?,A,A,74.0,7.4,A,?,C,B,BR,A,A,B
C,A,CO,?,?,?,C,B,D,B,C,D,C,C,B,?,D,D,?,?,A,?,B,B,AA,A,A,B
B,A,AJ,37.9,48,16,B,B,B,B,D,D,D,B,B,?,D,F,37.0,7.0,A,?,B,A,BC,A,A,B
B,A,FP,?,60,?,D,A,A,B,A,E,C,C,B,?,D,E,44.0,8.3,A,?,C,A,AQ,A,A,B
C,A,HE,?,80,36,D,E,D,B,E,E,E,C,B,?,D,F,38.0,6.2,A,?,D,A,BE,A,A,B
C,B,GW,38.3,90,?,B,A,B,B,F,D,B,C,B,?,D,A,40.0,6.2,B,2.2,B,B,AA,A,A,A
B,A,CX,38.1,66,12,D,D,F,B,D,D,B,C,B,3.0,C,F,44.0,6.0,C,3.6,B,A,AM,A,A,A
C,A,BJ,39.1,72,52,C,A,C,B,C,B,C,B,B,?,E,E,50.0,7.8,A,?,B,A,AI,A,A,B
B,A,BT,37.2,42,12,C,B,B,B,D,D,D,D,B,?,E,F,?,7.0,A,?,B,B,BN,A,A,B
C,B,EJ,38.0,92,28,B,B,C,B,B,D,C,D,A,7.2,B,B,37.0,6.1,B,?,C,B,AA,A,A,A
B,A,LR,38.2,76,28,D,B,B,B,D,E,B,C,C,?,E,E,46.0,81.0,B,2.0,B,A,AK,A,A,B
B,A,HK,37.6,96,48,D,B,E,B,F,D,D,C,D,4.5,E,A,45.0,6.8,A,?,C,A,BF,A,A,B
B,B,HH,?,128,36,D,D,E,C,E,E,D,D,A,?,E,F,53.0,7.8,D,4.7,C,B,AH,A,A,A
C,A,AI,37.5,48,24,A,A,A,A,A,A,A,A,A,?,A,A,?,?,A,?,B,B,AA,A,A,B
B,A,EG,37.6,64,21,B,B,C,B,C,D,B,B,B,?,C,F,40.0,7.0,B,?,B,A,BO,A,A,A
C,A,IU,39.4,110,35,E,D,G,A,A,D,D,A,A,?,A,A,55.0,8.7,A,?,B,B,AA,A,A,B
B,A,HI,39.9,72,60,B,B,F,C,F,E,E,D,B,?,E,E,46.0,6.1,C,?,B,A,AI,A,A,B
C,A,EV,38.4,48,16,B,A,B,B,B,D,B,C,D,5.5,E,D,49.0,6.8,A,?,B,B,AA,A,A,B
B,A,AD,38.6,42,34,C,B,E,A,C,D,B,A,A,?,B,A,48.0,7.2,A,?,B,A,AX,A,A,B
B,B,LY,38.3,130,60,A,D,A,B,C,E,A,A,A,?,A,A,50.0,70.0,A,?,B,A,AX,A,A,B
B,A,IX,38.1,60,12,D,D,D,B,A,E,D,D,C,2.0,A,A,51.0,65.0,A,?,B,A,AX,A,A,B
C,A,FL,37.8,60,42,A,A,A,B,A,A,A,A,A,?,A,A,?,?,A,?,B,B,AA,A,A,B
B,A,IK,38.3,72,30,E,D,D,C,D,D,D,C,B,?,D,F,43.0,7.0,C,3.9,B,A,AX,A,A,A
B,A,DF,37.8,48,12,D,B,B,B,A,D,C,B,B,?,B,D,37.0,5.5,C,1.3,B,B,BM,A,A,A
B,A,BN,?,?,?,A,A,A,A,A,A,A,A,A,?,A,A,?,?,A,?,C,B,BR,A,A,B
