@RELATION horse-colic

@ATTRIBUTE feature_01 {A, B, C}
@ATTRIBUTE feature_02 {A, B}
@ATTRIBUTE feature_03 REAL
@ATTRIBUTE feature_04 REAL
@ATTRIBUTE feature_05 REAL
@ATTRIBUTE feature_06 {A, B, C, D, E}
@ATTRIBUTE feature_07 {A, B, C, D, E}
@ATTRIBUTE feature_08 {A, B, C, D, E, F, G}
@ATTRIBUTE feature_09 {A, B, C, D}
@ATTRIBUTE feature_10 {A, B, C, D, E, F}
@ATTRIBUTE feature_11 {A, B, C, D, E}
@ATTRIBUTE feature_12 {A, B, C, D, E}
@ATTRIBUTE feature_13 {A, B, C, D}
@ATTRIBUTE feature_14 {A, B, C, D}
@ATTRIBUTE feature_15 REAL
@ATTRIBUTE feature_16 {A, B, C, D, E}
@ATTRIBUTE feature_17 {A, B, C, D, E, F}
@ATTRIBUTE feature_18 REAL
@ATTRIBUTE feature_19 REAL
@ATTRIBUTE feature_20 {A, B, C, D}
@ATTRIBUTE feature_21 REAL
@ATTRIBUTE feature_22 {A, B, C, D}
@ATTRIBUTE class {A, B}

@DATA
B,A,38.5,66.0,28.0,C,E,A,C,C,B,D,A,A,?,C,B,45.0,8.4,A,?,B,A
C,A,39.2,88.0,20.0,A,A,F,B,E,B,E,A,A,?,B,F,50.0,85.0,C,2.0,C,A
B,A,38.3,40.0,24.0,D,D,G,B,E,D,C,A,A,?,E,E,33.0,6.7,A,?,D,A
C,B,39.1,164.0,84.0,B,D,D,C,D,B,D,B,C,5.0,C,A,48.0,7.2,D,5.3,B,B
B,A,37.3,104.0,35.0,A,A,D,C,A,A,A,A,A,?,A,A,74.0,7.4,A,?,B,A
B,A,?,?,?,E,D,G,B,D,D,E,D,D,?,C,D,?,?,A,?,D,A
C,A,37.9,48.0,16.0,D,D,E,B,E,D,B,B,D,?,C,B,37.0,7.0,A,?,D,B
C,A,?,60.0,?,C,A,A,B,A,B,E,D,D,?,C,C,44.0,8.3,A,?,B,B
B,A,?,80.0,36.0,C,B,G,B,F,B,D,D,D,?,C,B,38.0,6.2,A,?,C,B
B,B,38.3,90.0,?,D,A,E,B,C,D,C,D,D,?,C,A,40.0,6.2,B,2.2,D,A
C,A,38.1,66.0,12.0,C,E,C,B,E,D,C,D,D,3.0,D,B,44.0,6.0,C,3.6,D,B
B,A,39.1,72.0,52.0,E,A,B,B,D,C,E,B,D,?,B,C,50.0,7.8,A,?,D,B
C,A,37.2,42.0,12.0,E,D,E,B,E,D,B,C,D,?,B,B,?,7.0,A,?,D,A
B,B,38.0,92.0,28.0,D,D,B,B,B,D,E,C,A,7.2,E,E,37.0,6.1,B,?,B,A
C,A,38.2,76.0,28.0,C,D,E,B,E,B,C,D,C,?,B,C,46.0,81.0,B,2.0,D,B
C,A,37.6,96.0,48.0,C,D,F,B,C,D,B,D,B,4.5,B,A,45.0,6.8,A,?,B,B
C,B,?,128.0,36.0,C,E,F,C,F,B,B,C,A,?,B,B,53.0,7.8,D,4.7,B,A
B,A,37.5,48.0,24.0,A,A,A,A,A,A,A,A,A,?,A,A,?,?,A,?,D,A
C,A,37.6,64.0,21.0,D,D,B,B,D,D,C,B,D,?,D,B,40.0,7.0,B,?,D,B
B,A,39.4,110.0,35.0,B,E,D,A,A,D,B,A,A,?,A,A,55.0,8.7,A,?,D,A
C,A,39.9,72.0,60.0,D,D,C,C,C,B,D,C,D,?,B,C,46.0,6.1,C,?,D,B
B,A,38.4,48.0,16.0,D,A,E,B,B,D,C,D,B,5.5,B,D,49.0,6.8,A,?,D,A
C,A,38.6,42.0,34.0,E,D,F,A,D,D,C,A,A,?,E,A,48.0,7.2,A,?,D,B
C,B,38.3,130.0,60.0,A,E,A,B,D,B,A,A,A,?,A,A,50.0,70.0,A,?,D,B
C,A,38.1,60.0,12.0,C,E,G,B,A,B,B,C,C,2.0,A,A,51.0,65.0,A,?,D,B
B,A,37.8,60.0,42.0,A,A,A,B,A,A,A,A,A,?,A,A,?,?,A,?,D,A
C,A,38.3,72.0,30.0,B,E,G,C,E,D,B,D,D,?,C,B,43.0,7.0,C,3.9,D,B
C,A,37.8,48.0,12.0,C,D,E,B,A,D,E,B,D,?,E,D,37.0,5.5,C,1.3,D,A
C,A,?,?,?,A,A,A,A,A,A,A,A,A,?,A,A,?,?,A,?,B,A
B,A,37.7,48.0,?,E,D,E,B,B,C,C,B,D,?,A,A,45.0,76.0,A,?,D,A
B,A,37.7,96.0,30.0,C,E,F,C,C,B,D,C,C,4.0,B,B,66.0,7.5,A,?,B,B
B,A,37.2,108.0,12.0,C,E,F,C,D,B,E,A,B,6.0,C,D,52.0,8.2,D,7.4,C,B
C,A,37.2,60.0,?,E,D,E,B,E,D,B,D,D,?,B,B,43.0,6.6,A,?,D,B
C,A,38.2,64.0,28.0,D,D,E,B,E,C,A,A,A,?,B,C,49.0,8.6,C,6.6,D,B
C,A,?,100.0,30.0,C,E,F,C,C,B,D,C,B,?,B,C,52.0,6.6,A,?,D,B
B,A,?,104.0,24.0,B,E,G,C,F,B,B,A,B,?,A,F,73.0,8.4,A,?,C,B
B,A,38.3,112.0,16.0,A,E,C,C,A,A,C,B,C,?,A,B,51.0,6.0,C,1.0,C,A
C,A,37.8,72.0,?,A,E,A,B,C,D,C,A,D,?,E,E,56.0,80.0,B,2.0,D,B
B,A,38.6,52.0,?,D,D,E,B,E,D,E,B,D,?,E,D,32.0,6.6,B,5.0,D,A
C,B,39.2,146.0,96.0,A,A,A,A,A,A,A,A,A,?,A,A,?,?,A,?,B,B
C,A,?,88.0,?,C,E,D,C,C,D,B,B,B,?,B,B,63.0,6.5,D,?,B,B
B,B,39.0,150.0,72.0,A,A,A,A,A,A,A,A,A,?,A,A,47.0,8.5,A,0.1,D,B
B,A,38.0,60.0,12.0,C,D,G,B,E,D,C,B,D,?,D,F,47.0,7.0,A,?,D,A
C,A,?,120.0,?,C,B,F,B,F,B,D,B,D,?,A,B,52.0,67.0,C,2.0,C,B
C,A,35.4,140.0,24.0,C,E,F,C,F,B,A,D,D,?,A,B,57.0,69.0,D,2.0,C,B
B,A,?,120.0,?,B,E,F,C,C,B,D,B,D,?,B,B,60.0,6.5,D,?,B,B
C,A,37.9,60.0,15.0,C,A,F,C,C,B,D,D,C,?,B,B,65.0,7.5,A,?,D,B
B,A,37.5,48.0,16.0,D,D,E,B,B,C,C,B,D,?,E,A,37.0,6.5,A,?,D,A
C,A,38.9,80.0,44.0,C,E,G,C,D,D,B,D,C,7.0,C,E,54.0,6.5,D,?,B,B
B,A,37.2,84.0,48.0,C,E,C,C,F,C,E,B,C,?,D,E,73.0,5.5,C,4.1,B,A
B,A,38.6,46.0,?,D,D,B,B,B,D,E,B,D,?,A,F,49.0,9.1,B,1.6,D,A
C,A,37.4,84.0,36.0,D,A,G,C,E,D,E,A,A,?,B,B,?,?,D,?,B,B
B,A,?,?,?,D,D,G,B,B,D,C,A,A,?,D,F,43.0,7.7,A,?,D,A
