@RELATION labor

@ATTRIBUTE feature_01 REAL
@ATTRIBUTE feature_02 REAL
@ATTRIBUTE feature_03 REAL
@ATTRIBUTE feature_04 REAL
@ATTRIBUTE feature_05 {A, B, C, D}
@ATTRIBUTE feature_06 REAL
@ATTRIBUTE feature_07 {A, B, C, D}
@ATTRIBUTE feature_08 REAL
@ATTRIBUTE feature_09 REAL
@ATTRIBUTE feature_10 {A, B, C}
@ATTRIBUTE feature_11 REAL
@ATTRIBUTE feature_12 {A, B, C, D}
@ATTRIBUTE feature_13 {A, B, C}
@ATTRIBUTE feature_14 {A, B, C, D}
@ATTRIBUTE feature_15 {A, B, C}
@ATTRIBUTE feature_16 {A, B, C, D}
@ATTRIBUTE class {A, B}

@DATA
1.0,5.0,?,?,A,40.0,A,?,2.0,A,11.0,B,A,A,C,A,B
2.0,4.5,5.8,?,A,35.0,D,?,?,C,11.0,C,A,B,A,B,B
?,?,?,?,A,38.0,B,?,5.0,A,11.0,D,C,C,C,C,B
3.0,3.7,4.0,5.0,C,?,A,?,?,C,?,A,A,A,C,A,B
3.0,4.5,4.5,5.0,A,40.0,A,?,?,A,12.0,B,A,C,C,C,B
2.0,2.0,2.5,?,A,35.0,A,?,6.0,C,12.0,B,A,A,A,A,B
3.0,4.0,5.0,5.0,C,?,B,?,?,A,12.0,D,C,D,C,C,B
3.0,6.9,4.8,2.3,A,40.0,A,?,3.0,A,12.0,C,A,A,A,A,B
2.0,3.0,7.0,?,A,38.0,A,12.0,25.0,C,11.0,C,C,C,C,A,B
1.0,5.7,?,?,B,40.0,B,?,4.0,A,11.0,D,C,B,A,A,B
3.0,3.5,4.0,4.6,B,36.0,A,?,3.0,A,13.0,D,A,A,C,B,B
2.0,6.4,6.4,?,A,38.0,A,?,4.0,A,15.0,A,A,B,A,A,B
2.0,3.5,4.0,?,B,40.0,A,?,2.0,B,10.0,C,B,C,A,C,A
3.0,3.5,4.0,5.1,D,37.0,A,?,4.0,A,13.0,D,A,B,C,B,B
1.0,3.0,?,?,B,36.0,A,?,10.0,B,11.0,D,A,A,A,A,B
2.0,4.5,4.0,?,B,37.0,B,?,?,A,11.0,B,A,B,C,A,B
1.0,2.8,?,?,A,35.0,A,?,2.0,A,12.0,C,A,A,A,A,B
1.0,2.1,?,?,C,40.0,D,2.0,3.0,B,9.0,C,C,C,A,D,A
1.0,2.0,?,?,B,38.0,C,?,?,C,11.0,B,B,D,B,D,A
2.0,4.0,5.0,?,D,35.0,A,13.0,5.0,A,15.0,D,A,A,A,A,B
2.0,4.3,4.4,?,A,38.0,A,?,4.0,A,12.0,D,A,B,A,B,B
2.0,2.5,3.0,?,A,40.0,C,?,?,A,11.0,C,A,A,A,A,A
3.0,3.5,4.0,4.6,D,27.0,A,?,?,A,?,A,A,A,A,A,B
2.0,4.5,4.0,?,A,40.0,A,?,4.0,A,10.0,D,A,C,A,B,B
1.0,6.0,?,?,A,38.0,A,8.0,3.0,A,9.0,D,A,A,A,A,B
3.0,2.0,2.0,2.0,B,40.0,C,?,?,A,10.0,C,A,C,C,B,A
2.0,4.5,4.5,?,D,?,A,?,?,C,10.0,C,C,D,A,C,B
2.0,3.0,3.0,?,B,33.0,A,?,?,C,12.0,D,A,A,C,B,B
2.0,5.0,4.0,?,B,37.0,A,?,5.0,B,11.0,C,C,B,C,B,B
3.0,2.0,2.5,?,A,35.0,C,?,?,A,10.0,B,A,A,C,B,A
3.0,4.5,4.5,5.0,B,40.0,A,?,?,B,11.0,B,A,C,A,A,B
3.0,3.0,2.0,2.5,C,40.0,C,?,5.0,B,10.0,C,C,C,C,B,A
2.0,2.5,2.5,?,A,38.0,B,?,?,A,10.0,B,A,A,A,A,A
2.0,4.0,5.0,?,B,40.0,C,?,3.0,B,10.0,C,B,D,A,D,A
3.0,2.0,2.5,2.1,C,40.0,C,2.0,1.0,B,10.0,C,B,C,C,B,A
2.0,2.0,2.0,?,B,40.0,C,?,?,B,11.0,B,C,D,C,B,A
1.0,2.0,?,?,C,40.0,D,4.0,0.0,B,11.0,D,B,D,B,D,A
1.0,2.8,?,?,B,38.0,B,2.0,3.0,B,9.0,C,C,C,A,D,A
3.0,2.0,2.5,2.0,A,37.0,B,?,?,A,10.0,B,A,A,C,D,A
2.0,4.5,4.0,?,B,40.0,A,?,4.0,A,12.0,B,C,B,C,C,B
1.0,4.0,?,?,B,?,C,?,?,C,11.0,B,B,D,B,D,A
2.0,2.0,3.0,?,B,38.0,B,?,?,C,12.0,D,C,D,C,B,A
2.0,2.5,2.5,?,C,39.0,B,?,?,A,12.0,B,A,A,C,A,A
2.0,2.5,3.0,?,D,40.0,C,?,?,A,11.0,C,A,A,C,A,A
2.0,4.0,4.0,?,B,40.0,C,?,3.0,A,10.0,C,B,D,A,D,A
2.0,4.5,4.0,?,A,40.0,A,?,2.0,B,10.0,C,B,C,A,C,A
2.0,4.5,4.0,?,B,40.0,A,?,5.0,A,11.0,B,A,B,C,B,B
2.0,4.6,4.6,?,D,38.0,A,?,?,A,?,A,C,C,A,C,B
2.0,5.0,4.5,?,B,38.0,A,14.0,5.0,A,11.0,C,C,A,A,B,B
2.0,5.7,4.5,?,B,40.0,D,?,?,A,11.0,B,C,B,C,B,B
2.0,7.0,5.3,?,A,?,A,?,?,A,11.0,A,C,B,A,A,B
3.0,2.0,3.0,?,D,?,B,?,?,C,?,A,C,C,C,A,B
3.0,3.5,4.0,4.5,D,35.0,A,?,?,A,13.0,D,A,A,C,B,B
3.0,4.0,3.5,?,B,40.0,B,?,6.0,A,11.0,B,C,B,A,B,B
3.0,5.0,4.4,?,B,38.0,B,10.0,6.0,A,11.0,D,C,A,A,B,B
3.0,5.0,5.0,5.0,A,40.0,A,?,?,A,12.0,B,A,C,C,C,B
3.0,6.0,6.0,4.0,A,35.0,A,?,14.0,A,9.0,D,C,B,C,B,B
% 
% 
% 
