@RELATION mushroom

@ATTRIBUTE feature_01 {A, B, C, D, E, F}
@ATTRIBUTE feature_02 {A, B, C, D}
@ATTRIBUTE feature_03 {A, B, C, D, E, F, G, H, I, J}
@ATTRIBUTE feature_04 {A, B}
@ATTRIBUTE feature_05 {A, B, C, D, E, F, G, H, I}
@ATTRIBUTE feature_06 {A, B}
@ATTRIBUTE feature_07 {A, B}
@ATTRIBUTE feature_08 {A, B}
@ATTRIBUTE feature_09 {A, B, C, D, E, F, G, H, I, J, K, L}
@ATTRIBUTE feature_10 {A, B}
@ATTRIBUTE feature_11 {A, B, C, D, E}
@ATTRIBUTE feature_12 {A, B, C, D}
@ATTRIBUTE feature_13 {A, B, C, D}
@ATTRIBUTE feature_14 {A, B, C, D, E, F, G, H, I}
@ATTRIBUTE feature_15 {A, B, C, D, E, F, G, H, I}
@ATTRIBUTE feature_16 {A}
@ATTRIBUTE feature_17 {A, B, C, D}
@ATTRIBUTE feature_18 {A, B, C}
@ATTRIBUTE feature_19 {A, B, C, D, E}
@ATTRIBUTE feature_20 {A, B, C, D, E, F, G, H, I}
@ATTRIBUTE feature_21 {A, B, C, D, E, F}
@ATTRIBUTE feature_22 {A, B, C, D, E, F, G}
@ATTRIBUTE class {A, B}

@DATA
F,C,E,B,G,B,A,B,E,A,D,C,C,H,H,A,C,B,E,C,D,F,B
F,C,J,B,A,B,A,A,E,A,C,C,C,H,H,A,C,B,E,D,C,B,A
A,C,I,B,D,B,A,A,F,A,C,C,C,H,H,A,C,B,E,D,C,D,A
F,D,I,B,G,B,A,B,F,A,D,C,C,H,H,A,C,B,E,C,D,F,B
F,C,D,A,F,B,B,A,E,B,D,C,C,H,H,A,C,B,A,D,A,B,A
F,D,J,B,A,B,A,A,F,A,C,C,C,H,H,A,C,B,E,C,C,B,A
A,C,I,B,A,B,A,A,C,A,C,C,C,H,H,A,C,B,E,C,C,D,A
A,D,I,B,D,B,A,A,F,A,C,C,C,H,H,A,C,B,E,D,D,D,A
F,D,I,B,G,B,A,B,H,A,D,C,C,H,H,A,C,B,E,C,E,B,B
A,C,J,B,A,B,A,A,C,A,C,C,C,H,H,A,C,B,E,C,D,D,A
F,D,J,B,D,B,A,A,C,A,C,C,C,H,H,A,C,B,E,D,C,B,A
F,D,J,B,A,B,A,A,F,A,C,C,C,H,H,A,C,B,E,C,D,D,A
A,C,J,B,A,B,A,A,K,A,C,C,C,H,H,A,C,B,E,D,D,B,A
F,D,I,B,G,B,A,B,E,A,D,C,C,H,H,A,C,B,E,D,E,F,B
F,A,E,A,F,B,B,A,F,B,D,C,A,H,H,A,C,B,A,C,A,B,A
E,A,D,A,F,B,A,B,E,A,D,C,C,H,H,A,C,B,E,D,F,F,A
C,A,I,A,F,B,B,A,E,B,D,C,C,H,H,A,C,B,A,D,A,B,A
F,C,E,B,G,B,A,B,F,A,D,C,C,H,H,A,C,B,E,C,D,B,B
F,D,I,B,G,B,A,B,F,A,D,C,C,H,H,A,C,B,E,D,D,F,B
F,C,E,B,G,B,A,B,E,A,D,C,C,H,H,A,C,B,E,D,D,F,B
A,C,J,B,A,B,A,A,E,A,C,C,C,H,H,A,C,B,E,D,D,D,A
F,D,E,B,G,B,A,B,F,A,D,C,C,H,H,A,C,B,E,D,E,B,B
A,D,J,B,D,B,A,A,E,A,C,C,C,H,H,A,C,B,E,D,D,D,A
A,D,I,B,A,B,A,A,K,A,C,C,C,H,H,A,C,B,E,D,C,D,A
A,C,I,B,D,B,A,A,C,A,C,C,C,H,H,A,C,B,E,C,D,D,A
C,C,I,B,G,B,A,B,F,A,D,C,C,H,H,A,C,B,E,D,E,B,B
F,D,J,B,A,B,A,A,F,A,C,C,C,H,H,A,C,B,E,D,C,D,A
F,D,I,B,D,B,A,A,K,A,C,C,C,H,H,A,C,B,E,D,C,D,A
C,A,E,A,F,B,A,B,E,A,D,C,C,H,H,A,C,B,E,C,F,F,A
F,C,J,B,A,B,B,B,F,B,B,C,C,H,H,A,C,B,E,D,E,A,A
A,C,J,B,D,B,A,A,C,A,C,C,C,H,H,A,C,B,E,D,C,D,A
F,D,I,B,G,B,A,B,E,A,D,C,C,H,H,A,C,B,E,D,D,F,B
F,D,J,B,D,B,A,A,F,A,C,C,C,H,H,A,C,B,E,D,C,D,A
F,D,E,B,D,B,A,A,H,A,E,C,D,H,H,A,C,B,E,D,F,E,A
A,D,J,B,D,B,A,A,F,A,C,C,C,H,H,A,C,B,E,D,D,D,A
F,A,J,B,D,B,B,B,K,B,B,C,C,H,H,A,C,B,E,D,E,A,A
E,A,D,A,F,B,A,B,E,A,D,C,C,H,H,A,C,B,E,C,E,F,A
F,D,E,B,G,B,A,B,K,A,D,C,C,H,H,A,C,B,E,D,D,F,B
F,A,J,B,A,B,B,B,H,B,B,C,C,H,H,A,C,B,E,D,E,A,A
A,C,J,B,D,B,A,A,E,A,C,C,C,H,H,A,C,B,E,C,D,D,A
A,D,J,B,A,B,A,A,F,A,C,C,C,H,H,A,C,B,E,D,D,B,A
F,D,J,B,D,B,A,A,F,A,E,C,D,H,H,A,C,B,E,C,F,E,A
F,A,E,A,F,B,A,B,C,A,D,C,C,H,H,A,C,B,E,C,F,F,A
F,D,I,B,G,B,A,B,H,A,D,C,C,H,H,A,C,B,E,D,E,B,B
F,C,J,B,A,B,A,A,K,A,C,C,C,H,H,A,C,B,E,C,C,D,A
F,D,I,B,A,B,A,A,F,A,C,C,C,H,H,A,C,B,E,D,C,B,A
F,D,J,B,D,B,A,A,E,A,C,C,C,H,H,A,C,B,E,C,D,D,A
F,C,I,B,D,B,A,A,K,A,C,C,C,H,H,A,C,B,E,D,C,D,A
F,D,J,B,D,B,A,A,F,A,E,C,D,H,H,A,C,B,E,D,D,E,A
C,D,J,B,D,B,A,A,K,A,E,C,D,H,H,A,C,B,E,C,D,E,A
F,D,E,B,A,B,A,A,K,A,E,C,D,H,H,A,C,B,E,C,D,B,A
