@RELATION soybean

@ATTRIBUTE feature_01 {A, B, C, D, E, F, G, H}
@ATTRIBUTE feature_02 {A, B, C}
@ATTRIBUTE feature_03 {A, B, C, D}
@ATTRIBUTE feature_04 {A, B, C, D}
@ATTRIBUTE feature_05 {A, B, C}
@ATTRIBUTE feature_06 {A, B, C, D, E}
@ATTRIBUTE feature_07 {A, B, C, D, E}
@ATTRIBUTE feature_08 {A, B, C, D}
@ATTRIBUTE feature_09 {A, B, C, D}
@ATTRIBUTE feature_10 {A, B, C, D}
@ATTRIBUTE feature_11 {A, B, C}
@ATTRIBUTE feature_12 {A, B}
@ATTRIBUTE feature_13 {A, B, C, D}
@ATTRIBUTE feature_14 {A, B, C, D}
@ATTRIBUTE feature_15 {A, B, C, D}
@ATTRIBUTE feature_16 {A, B, C}
@ATTRIBUTE feature_17 {A, B, C}
@ATTRIBUTE feature_18 {A, B, C, D}
@ATTRIBUTE feature_19 {A, B, C}
@ATTRIBUTE feature_20 {A, B, C}
@ATTRIBUTE feature_21 {A, B, C, D, E}
@ATTRIBUTE feature_22 {A, B, C, D, E}
@ATTRIBUTE feature_23 {A, B, C}
@ATTRIBUTE feature_24 {A, B, C, D}
@ATTRIBUTE feature_25 {A, B, C}
@ATTRIBUTE feature_26 {A, B, C, D}
@ATTRIBUTE feature_27 {A, B, C}
@ATTRIBUTE feature_28 {A, B, C, D, E}
@ATTRIBUTE feature_29 {A, B, C, D, E}
@ATTRIBUTE feature_30 {A, B, C}
@ATTRIBUTE feature_31 {A, B, C}
@ATTRIBUTE feature_32 {A, B, C}
@ATTRIBUTE feature_33 {A, B, C}
@ATTRIBUTE feature_34 {A, B, C}
@ATTRIBUTE feature_35 {A, B, C, D}
@ATTRIBUTE class {A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S}

@DATA
G,C,B,D,C,E,B,C,C,C,B,A,B,B,B,B,B,B,B,B,B,B,C,C,B,D,B,E,E,C,B,B,C,B,C,K
C,C,B,D,C,D,C,D,B,B,B,A,B,B,B,B,B,B,B,C,B,B,C,C,B,D,B,E,E,C,B,B,C,B,C,K
D,C,B,D,C,E,C,D,B,D,B,A,B,B,B,B,B,B,B,C,B,D,C,C,B,D,B,E,E,C,B,B,C,B,C,K
D,C,B,D,C,E,C,D,C,B,B,A,B,B,B,B,B,B,B,C,B,D,C,C,B,D,B,E,E,C,B,B,C,B,C,K
G,C,B,D,C,D,C,C,C,D,B,A,B,B,B,B,B,B,B,C,B,B,C,C,B,D,B,E,E,C,B,B,C,B,C,K
H,C,B,D,C,C,C,C,C,B,B,A,B,B,B,B,B,B,B,C,B,D,C,C,B,D,B,E,E,C,B,B,C,B,C,K
H,C,B,D,C,D,C,C,B,C,B,A,B,B,B,B,B,B,B,B,B,B,C,C,B,D,B,E,E,C,B,B,C,B,C,K
C,C,B,D,B,E,C,C,C,D,B,A,B,B,B,B,B,B,B,C,B,B,C,C,B,D,B,E,E,C,B,B,C,B,C,K
G,C,B,D,C,C,C,C,B,B,B,A,B,B,B,B,B,B,B,C,B,B,C,C,B,D,B,E,E,C,B,B,C,B,C,K
C,C,B,D,C,D,C,D,C,D,B,A,B,B,B,B,B,B,B,C,B,B,C,C,B,D,B,E,E,C,B,B,C,B,C,K
G,C,C,B,C,E,E,C,B,C,B,A,B,B,B,B,B,B,B,C,D,E,B,B,B,B,C,E,E,C,B,B,C,B,C,H
C,C,C,D,B,E,E,C,B,B,B,A,B,B,B,B,B,B,B,B,D,E,B,B,B,B,C,E,E,C,B,B,C,B,C,H
