@RELATION zoo

@ATTRIBUTE feature_01 {AA, AB, AC, AD, AE, AF, AG, AH, AI, AJ, AK, AL, AM, AN, AO, AP, AQ, AR, AS, AT, AU, AV, AW, AX, AY, AZ, BA, BB, BC, BD, BE, BF, BG, BH, BI, BJ, BK, BL, BM, BN, BO, BP, BQ, BR, BS, BT, BU, BV, BW, BX, BY, BZ, CA, CB, CC, CD, CE, CF, CG, CH, CI, CJ, CK, CL, CM, CN, CO, CP, CQ, CR, CS, CT, CU, CV, CW, CX, CY, CZ, DA, DB, DC, DD, DE, DF, DG, DH, DI, DJ, DK, DL, DM, DN, DO, DP, DQ, DR, DS, DT, DU, DV}
@ATTRIBUTE feature_02 {A, B}
@ATTRIBUTE feature_03 {A, B}
@ATTRIBUTE feature_04 {A, B}
@ATTRIBUTE feature_05 {A, B}
@ATTRIBUTE feature_06 {A, B}
@ATTRIBUTE feature_07 {A, B}
@ATTRIBUTE feature_08 {A, B}
@ATTRIBUTE feature_09 {A, B}
@ATTRIBUTE feature_10 {A, B}
@ATTRIBUTE feature_11 {A, B}
@ATTRIBUTE feature_12 {A, B}
@ATTRIBUTE feature_13 {A, B}
@ATTRIBUTE feature_14 REAL
@ATTRIBUTE feature_15 {A, B}
@ATTRIBUTE feature_16 {A, B}
@ATTRIBUTE feature_17 {A, B}
@ATTRIBUTE class {A, B, C, D, E, F, G}

@DATA
AA,B,A,A,B,A,A,B,B,B,B,A,A,4.0,A,A,B,F
AB,B,A,A,B,A,A,A,B,B,B,A,A,4.0,B,A,B,F
AC,A,A,B,A,A,B,B,B,B,A,A,B,0.0,B,A,A,C
AD,B,A,A,B,A,A,B,B,B,B,A,A,4.0,A,A,B,F
AE,B,A,A,B,A,A,B,B,B,B,A,A,4.0,B,A,B,F
AF,B,A,A,B,A,A,A,B,B,B,A,A,4.0,B,A,B,F
AG,B,A,A,B,A,A,A,B,B,B,A,A,4.0,B,B,B,F
AH,A,A,B,A,A,B,A,B,B,A,A,B,0.0,B,B,A,C
AI,A,A,B,A,A,B,B,B,B,A,A,B,0.0,B,A,A,C
AJ,B,A,A,B,A,A,A,B,B,B,A,A,4.0,A,B,A,F
AK,B,A,A,B,A,A,B,B,B,B,A,A,4.0,B,A,B,F
AL,A,B,B,A,B,A,A,A,B,B,A,A,2.0,B,B,A,B
AM,A,A,B,A,A,B,B,B,B,A,A,B,0.0,B,A,A,C
AN,A,A,B,A,A,A,B,A,A,A,A,A,0.0,A,A,A,E
AO,A,A,B,A,A,B,B,A,A,A,A,A,4.0,A,A,A,E
AP,A,A,B,A,A,B,B,A,A,A,A,A,6.0,A,A,A,E
AQ,A,B,B,A,B,A,B,A,B,B,A,A,2.0,B,A,A,B
AR,B,A,A,B,A,A,A,B,B,B,A,A,4.0,B,A,B,F
AS,A,A,B,A,A,B,B,B,B,A,A,B,0.0,B,A,B,C
AT,A,A,A,B,A,B,B,B,B,B,A,B,0.0,B,A,B,F
AU,A,B,B,A,B,A,A,A,B,B,A,A,2.0,B,B,A,B
AV,A,B,B,A,B,B,A,A,B,B,A,A,2.0,B,A,A,B
AW,B,A,A,B,A,A,A,B,B,B,A,A,4.0,B,A,B,F
AX,A,B,B,A,B,A,A,A,B,B,A,A,2.0,B,A,B,B
AY,A,A,B,A,A,A,A,A,A,B,A,A,6.0,A,A,A,D
AZ,A,A,B,A,A,B,B,B,B,B,A,A,4.0,A,A,A,A
